dates|140320|140321|140322|140323|140324|140325|140326|140327|140328|140329|140330|140331|140401|140402
highway=track,service;km|11556.4645335253|11581.1616918204|11661.4753822025|12242.1250370869|12688.2479414469|13271.5248864234|13795.924537444|14081.4062676873|14481.4832619655|14826.2080016819|15108.1998494714|15384.9854731258|15788.7697434207|15829.454700147
highway=footway,path;km|2324.53860101797|2324.53912249649|2327.21479964105|2347.59191359924|2354.45064478322|2368.05041617716|2382.40314433605|2393.37448824806|2396.98137954655|2402.35279424459|2415.36563323366|2418.26671157427|2424.04328170782|2425.94651306551
highway roads;km|16027.8608815743|16037.3136918469|16085.6129524888|16406.6069705091|16515.7169071183|16631.0704960012|16730.6275747666|16824.0848286231|16934.7642763302|16996.5342440979|17113.6407661629|17160.378471639|17212.4567282998|17219.2084116691
railways;km|1441.00786868963|1444.48369451748|1444.41837941558|1444.30878433488|1444.46614813503|1445.72839317341|1450.84673215309|1450.57884565236|1450.57884565236|1450.57884566608|1455.68755488745|1455.70247952548|1455.70248103539|1455.70248103539
waterways;km|3467.18288741932|3469.40746478824|3531.45427164535|3582.76615873618|3754.38004103129|3920.26492409288|4062.33142589157|4231.91624193693|4535.29839654922|4583.99458806069|4679.29043193731|4811.3238187973|4856.69309471693|4909.57080901806
power lines;km|3695.66585244416|3729.95980354621|3748.64975000564|3865.18818587092|3973.08246054659|4162.5615977496|4400.26262969892|4628.79868879272|4709.49746995355|4775.81940487265|4820.54395047353|4862.57408021283|4995.25989139524|4995.71412328466
farms;km²|2399.2339069238|2414.41974721351|2627.4876994281|3473.02924723452|4226.19222916427|4881.79512670403|5639.22256045586|6060.38440272931|7002.59415137937|8049.07180911992|8857.89219093623|9645.3857222576|10034.2798833306|10085.491497225
nature;km²|3157.50245819776|3157.45456950665|3162.30501177176|3181.66753088295|3225.59420610197|3229.48628164929|3229.4545172936|3238.50637287922|3241.48454912103|3243.60532518958|3251.91285732457|3109.34534949145|3127.2529470772|3127.41210068445
landuse;km²|662.877082797505|663.363393925308|672.061188235472|699.859692710402|714.170579218274|732.573088819179|744.283410199771|747.254609005365|751.715746198195|749.6858684994|765.399784490653|774.033688239751|775.74671159568|782.692163234307
buildings;n|62975|63118|66235|73182|80424|86017|90446|93712|97455|100573|106699|110929|114080|114515
power poles;n|21524|21754|22100|22923|24870|26441|27817|29490|30009|30689|31183|31676|33003|33030
